Year_Month,Year,Month,Month_Name,Cohort_ID,City_Tier,Monthly_Income_INR,Essential_Groceries_INR,Essential_Rent_INR,Essential_Utilities_INR,Essential_Healthcare_INR,Essential_Education_INR,Discretionary_Dining_INR,Discretionary_Shopping_INR,Discretionary_Entertainment_INR,Festive_Seasonal_Expense_INR,Total_Monthly_Expenses_INR,Monthly_Savings_INR,Inflation_CPI_Pct,Festival_Season_Flag
2021-01,2021,1,Jan,COHORT_001,Tier 1,175000,30300,49000,8800,5100,7000,9700,8800,4800,0,123500,51500,5.17,0
2021-02,2021,2,Feb,COHORT_001,Tier 1,175000,27400,49000,8800,6900,7000,9600,8000,6400,0,123100,51900,5.24,0
2021-03,2021,3,Mar,COHORT_001,Tier 1,175000,27900,49000,8800,6900,7000,10100,10000,3900,35415,159015,15985,5.42,1
2021-04,2021,4,Apr,COHORT_001,Tier 1,175000,28800,49000,8800,6200,7000,11400,5800,6300,0,123300,51700,4.95,0
2021-05,2021,5,May,COHORT_001,Tier 1,175000,31200,49000,12300,6400,7000,8500,6700,4900,0,126000,49000,4.82,0
2021-06,2021,6,Jun,COHORT_001,Tier 1,175000,24700,49000,12300,3900,17500,9000,9400,4100,0,129900,45100,5.19,0
2021-07,2021,7,Jul,COHORT_001,Tier 1,175000,28800,49000,12300,5000,17500,9500,9300,5100,0,136500,38500,5.49,0
2021-08,2021,8,Aug,COHORT_001,Tier 1,175000,29400,49000,8800,6400,7000,8300,6200,6300,0,121400,53600,5.0,0
2021-09,2021,9,Sep,COHORT_001,Tier 1,175000,26000,49000,8800,5200,7000,7300,7400,5300,0,116000,59000,4.94,0
2021-10,2021,10,Oct,COHORT_001,Tier 1,175000,27400,49000,8800,5300,7000,11100,8900,3700,30795,151995,23005,5.15,1
2021-11,2021,11,Nov,COHORT_001,Tier 1,175000,28800,49000,8800,4100,7000,14100,15700,6900,34306,168706,6294,5.21,1
2021-12,2021,12,Dec,COHORT_001,Tier 1,175000,29600,49000,8800,5100,7000,12100,5600,5700,0,122900,52100,5.46,0
2022-01,2022,1,Jan,COHORT_001,Tier 1,189000,28100,53000,9400,6300,7600,10900,10000,6400,0,131700,57300,6.53,0
2022-02,2022,2,Feb,COHORT_001,Tier 1,189000,33100,53000,9400,5200,7600,9800,8400,4200,0,130700,58300,6.33,0
2022-03,2022,3,Mar,COHORT_001,Tier 1,189000,29700,53000,9400,6400,7600,11700,13000,5900,44908,181608,7392,6.34,1
2022-04,2022,4,Apr,COHORT_001,Tier 1,189000,28400,53000,9400,5200,7600,11500,8600,5300,0,129000,60000,6.99,0
2022-05,2022,5,May,COHORT_001,Tier 1,189000,29000,53000,13200,4500,7600,8400,6400,6600,0,128700,60300,6.34,0
2022-06,2022,6,Jun,COHORT_001,Tier 1,189000,32300,53000,13200,7300,18900,9500,9500,7200,0,150900,38100,6.82,0
2022-07,2022,7,Jul,COHORT_001,Tier 1,189000,28800,53000,13200,4200,18900,9100,9300,4100,0,140600,48400,6.83,0
2022-08,2022,8,Aug,COHORT_001,Tier 1,189000,26500,53000,9400,7300,7600,12900,5700,5200,0,127600,61400,6.89,0
2022-09,2022,9,Sep,COHORT_001,Tier 1,189000,30600,53000,9400,7000,7600,8500,10900,3900,0,130900,58100,6.97,0
2022-10,2022,10,Oct,COHORT_001,Tier 1,189000,29700,53000,9400,5800,7600,15400,15200,7400,42425,185925,3075,7.01,1
2022-11,2022,11,Nov,COHORT_001,Tier 1,189000,30700,53000,9400,6800,7600,16500,9700,4100,33337,171137,17863,6.39,1
2022-12,2022,12,Dec,COHORT_001,Tier 1,189000,28200,53000,9400,4800,7600,11500,8500,7500,0,130500,58500,6.62,0
2023-01,2023,1,Jan,COHORT_001,Tier 1,203000,31400,57000,10200,6500,8100,8100,10600,6600,0,138500,64500,5.08,0
2023-02,2023,2,Feb,COHORT_001,Tier 1,203000,33900,57000,10200,5500,8100,13100,6700,5000,0,139500,63500,5.64,0
2023-03,2023,3,Mar,COHORT_001,Tier 1,203000,34100,57000,10200,4700,8100,16800,14300,7600,25377,178177,24823,5.3,1
2023-04,2023,4,Apr,COHORT_001,Tier 1,203000,28900,57000,10200,4200,8100,8700,11300,6900,0,135300,67700,5.29,0
2023-05,2023,5,May,COHORT_001,Tier 1,203000,35500,57000,14200,7800,8100,13200,9800,5100,0,150700,52300,5.44,0
2023-06,2023,6,Jun,COHORT_001,Tier 1,203000,35700,57000,14200,6200,20300,8600,7700,4100,0,153800,49200,5.54,0
2023-07,2023,7,Jul,COHORT_001,Tier 1,203000,34500,57000,14200,4700,20300,12400,7900,8100,0,159100,43900,5.37,0
2023-08,2023,8,Aug,COHORT_001,Tier 1,203000,34000,57000,10200,5300,8100,9400,8000,7300,0,139300,63700,5.54,0
2023-09,2023,9,Sep,COHORT_001,Tier 1,203000,32200,57000,10200,5600,8100,10700,8400,7400,0,139600,63400,5.48,0
2023-10,2023,10,Oct,COHORT_001,Tier 1,203000,29900,57000,10200,5000,8100,21200,11300,7900,40736,191336,11664,5.01,1
2023-11,2023,11,Nov,COHORT_001,Tier 1,203000,35900,57000,10200,7900,8100,17500,16500,4400,44523,202023,977,5.11,1
2023-12,2023,12,Dec,COHORT_001,Tier 1,203000,29300,57000,10200,5400,8100,13000,10400,8000,0,141400,61600,5.37,0
