Year,Country,CountryCode,Indicator,UnemploymentRatePct
1991,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.641
1992,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.649
1993,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.662
1994,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.593
1995,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.57
1996,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.537
1997,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.574
1998,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.596
1999,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.583
2000,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.589
2001,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.611
2002,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.681
2003,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.633
2004,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.598
2005,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.551
2006,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.553
2007,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.562
2008,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.629
2009,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.636
2010,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.631
2011,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.609
2012,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.645
2013,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.678
2014,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.656
2015,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.629
2016,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.611
2017,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.626
2018,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.652
2019,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.51
2020,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",7.859
2021,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",6.38
2022,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.822
2023,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.172
2024,India,IND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",4.173
